text	rating	consumer_id	language	reply_message	consumer_countryCode	consumersReviewCountOnSameDomain	dates_publishedDate	consumer_numberOfReviews	reply_publishedDate	likes	consumer_isVerified	title
When your account gets blocked (e.g. decease), Keytrade is unresponsive. Out 4 banks I have had to deal with Keytrade is by far the slowest, least responsive and most administrative. Furthermore, their Terms & Conditions give them a discretionary, unilateral right to block accounts and zero guidance, procedure or appeal options - unless a lawyer - to unblock. For info: Argenta was by and large the fastest and easiest to work with in my particular case.	2	637e2863924f0000124dcdc2	en	"Dear Pascal,

We're sorry you've had this experience. Thank you for your feedback, we're taking steps to prevent this from happening again.

Kind regards,
Veronique from the Keytrade Bank team"	BE	1	2024-07-23T12:10:54.000Z	7	2024-07-25T15:33:01.000Z	2	False	Unresponsive & unhelpful in case of e.g death
Easy to use online banking! Also nice referral bonus!	5	5729ffd10000ff000a1d1cd5	en		MO	1	2024-07-13T17:00:11.000Z	5		0	False	Easy to use online banking
"using Keytrade bank for more than 3 years now , with Visa Gold , all free of any kind of charge since i do more than 12 transactionS per year.
i called customer service to have a higher visa limit because of upcoming travel to the US and they did this within 2 days after providing some documents , very smooth and easy .
very satisfied with the service .
if you guys can add Instant payments and Itsme you will be the best bank in Belgium ."	5	6675bc4775540f057594b174	en		DE	1	2024-06-21T19:45:52.000Z	1		1	False	using Keytrade bank for more than 3…
Horrible service. Devient cher et service client lent et peu amical. A fuir.	1	624c96eb2bfe3d0012ef0942	fr	"Bonjour Monsieur Vaillant,

Nous regrettons d'apprendre que vous n'êtes pas satisfait de notre service. Nous nous efforçons de fournir un excellent service à nos clients et nous utiliserons votre feedback pour nous améliorer.

Pour information, nous utilisons de nouveaux tarifs de trading depuis le 22 janvier, avec des baisses de prix significatives sur les marchés préférés de nos clients. Plus d'infos via https://www.keytradebank.be/fr/investir/trading

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-20T17:51:47.000Z	2	2025-02-25T09:01:52.000Z	0	False	Horrible service
"Excellent organisme à la base, en chute progressive vertigineuse après la reprise en 2015 par ARKEA. Service clientèle inexistant ou réponses passe-partout sans solutions, service plainte aux abonnés absents. Leur chute dans les comparatifs n'est pas un hasard...
Restent les taux d'épargne qui sont dans la moyenne supérieure.
C'est une de mes banques principales mais j'envisage sérieusement une fameuse réorganisation parce-que les produits, c'est bien... Le considération du client, c'est indispensable."	2	57b8adf20000ff000a3ca6fa	fr	"Bonjour Alduj,

Nous sommes désolés de ne pas répondre à vos attentes. Nous travaillons avec diligence pour améliorer nos services en fonction de commentaires comme le vôtre. Votre satisfaction est notre priorité et nous prenons votre feedback au sérieux.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-19T12:54:16.000Z	7	2025-02-25T10:10:50.000Z	0	False	En chute libre
Slechtste en meest onvriendelijke klantenservice ooit. Verdient eigenlijk 0 sterren. Na een half uur wachten een super onvriendelijke en arrogante man aan de lijn die uit zichzelf ophangt omdat hij niet kapabel is het probleem op te lossen. Ik kan geen geld weghalen van mijn Keytrade account, stelletje bedriegers! 	1	67b4d22cf67b7a8dd9141444	nl	"Beste heer Aldershoff,

We betreuren wat u blijkbaar hebt ervaren. We waarderen uw feedback en ondernemen stappen om de situatie te verhelpen.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-02-18T20:32:19.000Z	1	2025-02-25T10:36:38.000Z	0	False	Slechtste en meest onvriendelijke…
Na een half uur aan de telefoon mogen wachten,.... schandalig de dienstverlening en arrogantie van de medewerker. Men zou verlegen mogen zijn om zo met een klant om te gaan.  	1	67ae0d6480d5842c5e21b636	nl	"Beste Roberto,

We betreuren wat u blijkbaar hebt ervaren. De tevredenheid van onze klanten is onze topprioriteit. We nemen uw feedback zeker mee en ondernemen stappen om de situatie te verhelpen.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-02-13T17:19:45.000Z	2	2025-02-18T09:04:42.000Z	0	False	Na een half uur aan de telefoon mogen…
Problemen met overschrijvingen. Al meerdere malen gebeld maar telkens wordt er een ticket aangemaakt en daar blijft het ook bij. Voorlaatste persoon die ik aan de lijn had is niet capabel om zijn job uit te voeren of om te gaan met klanten. Gelukkig had ik laatste maal een vriendelijke dame aan de lijn die goed luisterde en probeerde te helpen. Hopelijk is het snel opgelost. Communicatie is key maar die is ver te zoeken bij jullie. 	1	64f02ddc05f27400129e89a5	nl	"Beste heer Van den abbeele,

Bedankt voor uw feedback. Weet dat we deze feedback als essentieel zien om onze diensten te verbeteren om in de toekomst dit type van problemen te vermijden. Onze excuses voor het ongemak.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-02-12T12:06:24.000Z	2	2025-02-18T08:55:35.000Z	0	False	Problemen met overschrijvingen
"Je suis client chez Keytrade depuis plus de 20 ans.
Le 10/12/2024, j'ai introduit une demande d'ouverture de compte commun pour ma compagne et moi.
Le 24/12/2024, j'ai reçu un courriel avec une question.
Le 26/12/2024, je répond au courriel.
Comme je n'ai plus de nouvelles depuis, je renvois un courriel de rappel le 23/01/2025.
Aujourd'hui, le 7/02/2025, j'appelle Keytrade pour résoudre le problème.
Mon interlocuteur me fait attendre un moment et me répond qu'il ne sait pas m'aider et qu'il ignore la raison du blocage.
Il me dit que je dois envoyer un mail de plainte à qualitycare keytradebank.com pour être aidé.
Je reçois un courriel en retour me disant qu'ils ont 15 jours ouvrables (3 semaine) pour répondre à ma plainte.
La qualité du service n'est plus du tout du niveau de l'époque. Je ne sais pas ce qui ne tourne plus rond dans cette banque. 
"	2	5ebfa540ee8f29d6d7d263dc	fr	"Bonjour Monsieur Dubois,

Nous sommes désolés que vous ayez eu cette expérience. 
Nous apprécions la patience que vous avez eue. Le compte est à présent ouvert.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-07T14:30:33.000Z	9	2025-02-11T14:01:47.000Z	0	False	Je suis client chez Keytrade depuis…
"J'ai fait une demande d'ouverture de compte fin novembre 2024 en utilisant itsme pour m'identifier... Nous sommes 11 semaines plus tard et toujours RIEN !!!
Ceci est absolument intolérable et témoigne d'emblée d'un manque total de sérieux de cette ""banque"".
Donc, je ne ferai jamais rien avec eux, c'est mort !!!
A FUIR !!!"	1	64125fd85f391b0012c61a64	fr	"Bonjour W Gator,

Nous nous excusons sincèrement pour les problèmes que vous avez rencontrés. 
Nous travaillons sur l'amélioration du traitement des demandes avec identification via Itsme. Vos commentaires nous aident à prioriser ces changements.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-07T01:52:14.000Z	2	2025-02-07T17:40:58.000Z	0	False	Ouverture de compte en attente depuis 11 semaines !!!
"Avant le rachat par le Crédit Agricole, il s'agissait d'une bonne banque.

Depuis lors, il n'y a plus aucune innovation, il y a des erreurs dans le calcul des intérêts des comptes épargnes, le service client est parfois compliqué à joindre et ne répond pas toujours par email.

Certains collaborateurs du service client sont en outre très désagréables. J'ai eu quelqu'un il y a cinq minutes qui m'a aboyé dessus (alors que je téléphonais de façon très cordiale) et me coupait sans arrêt avec un ton très agressif simplement car j'avais fait un virement qui n'était jamais arrivé et je voulais savoir s'il était possible de le tracer."	1	666c0f641916d33d0422b873	fr	"Bonjour Monsieur Dumortier,

Merci pour vos commentaires. Votre feedback est essentiel pour améliorer nos services.

Nous sommes désolés de lire votre expérience et nous prenons des mesures pour éviter que cela ne se reproduise.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-06T15:29:15.000Z	2	2025-02-07T17:30:56.000Z	0	False	Keytrade, c'était bien... avant !
Très bonne banque, aucun soucis. 	5	676593f4615285b5dfe9b453	fr	"Bonjour Fabrice,

Nous sommes ravis de lire que vous appréciez notre service. Merci pour votre commentaire positif!

Bien à vous,
Véronique de l'équipe Keytrade Bank"	FR	2	2025-02-05T12:56:35.000Z	2	2025-02-25T10:38:24.000Z	0	False	Très bonne banque
Waar  is  mijn geld nu ?tot mijn verbazing is MIJN EIGEN GELD van mijn rekeningnummer verdwenen nog 2960 euro na dat MIJN EIGEN GELD een maand geblokkeerd is?alleen met een mail ´´´naar de rechtmatige eigenaar??????´´,,ik kan ook niet meer op de applicatie van de KEYTRADE BANK ´........na vele malen gemaild en gebeld te hebben met de nodige informatie van wie ?van wat ?en waarom ik eerlijk dat geld ontvangen heb???ongelooflijk maar waar!!!!	1	677d7ae5b59e5f2f217c6e22	nl	"Beste Mevrouw Van de Velde,

We betreuren wat u blijkbaar hebt ervaren. 
We hebben uw vragen meermaals rechtstreeks beantwoord met meer uitleg.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	2	2025-02-04T12:24:18.000Z	5	2025-02-05T11:21:21.000Z	0	True	Waar  is  mijn geld nu ?tot mijn…
"Dans l'ensemble, très bonne banque secondaire (pour mon profil en tout cas). Au vu des réponses apportées, il semble que des évolutions sur l'application deviennent effectives, notamment Apple Pay/Google Pay (confirmé par l'interview de leur CEO), les virements instantanés (puisqu'il s'agit d'une obligation induite par la directive PSD2) et, je l'espère, l'intégration de Wero qui serait un complément indéniable aux deux éléments précités. Toutefois, recevoir des notifications des paiements entrants et sortants serait bien nécessaire (en lieu et place de l'e-mail m'annonçant une transaction). La partie ""paramètres"" de l'espace client est vieillotte mais je présume qu'elle évoluera. Bref, on revient de loin mais ça progresse bien !"	3	67a0dad2097fb6881f5ad41a	fr	"Bonjour David,

Merci pour votre critique équilibrée et juste. 
Nous sommes ravis que vous ayez pris le temps de partager vos pensées avec nous. Votre feedback est essentiel pour nous améliorer et nous aider à prioriser ces changements.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-02-03T17:04:18.000Z	3	2025-02-05T11:36:21.000Z	0	False	Dans l'ensemble, très bonne banque secondaire
"Un désastre, ma fille essaie d'ouvrir un compte épargne depuis le 10 janvier et malgré que son dossier est complet, aucune réponse concrète.
De plus comme elle voyage souvent cela complique encore les choses car non seulement il est difficile de joindre le helpdesk mais il refuse de vous donner tout simplement l'état de l'avancement du dossier sous prétexte que je suis son père et qu'elle a 18 ans.
jusqu'ou va le ridicule! Je pense qu'avec un peu de bon sens, donner l'état d'avancement ne donne aucune donnée personnel ou importante qui pourrait lui causer préjudice, mais bon cela prouve une fois de plus l'efficacité des calls center. Rien ne vaut un contact physique pour un service de qualité! Bien sur que les taux sont différents mais a choisir!
Je pense donc que je vais tout simplement conseiller a ma fille de ce diriger vers une autre banque moins rentable mais plus sérieuse."	1	5f159e2bdb6802de0e28e2ab	fr	"Bonjour Monsieur Dacos,

Nous sommes désolés que vous et votre fille ayez eu cette expérience. 
Nous apprécions votre patience.
Entre-temps, nous avons contacté votre fille par mail le 3 février au sujet de sa demande d'ouverture de compte.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-30T14:39:20.000Z	8	2025-02-07T17:28:21.000Z	0	False	Un désastre
"Zeer slechte service.
De wachtijden aan de telefoon zijn al weken erg lang. Dat terzijde :
helpdesk 1 zgt : u zult een nieuwe smartphone moeten kopen, want het zal niet werken op uw motorola.
helpdesk 2 : heel lang geduld : app werkt.

Rekening op beider namen. 
Beide verantwoordelijk.
Blijkt dat slechts 1 partner een visa kan krijgen, want die heeft loonbrieven.
Geen loonbrief, geen visa.
Ookal staat er genoeg (evenveel als van de ander! ) op de rekening.

Bijzondere discriminatie van de vrouw aan de haard.
Alhoewel zij de  huizen koopt en verkoopt, de studiefinancieringen regelt, goed spaart : de partner wil NIETS met financien te maken hebben.

Tot zover het Keytrade expiriment : mislukt !

(en ja een kaart op eigen naam is nodig voor als je bijv. een vliegticket koopt  !)"	1	58caa7340000ff000a8249d1	nl		BE	1	2025-01-30T14:26:14.000Z	12		0	True	Zeer slechte service.
"Wij waren na al het lezen van de reklame over Kenytrade heel enthousiast.
Nu blijkt, dat je als thuiswerkende partner , niet eens een visa kan krijgen , ookal heb je saldo genoeg, omdat je zelf geen loonbrieven hebt.
Ik voel me zeer zeer zwaar gediscrimineerd, omdat ik al zolang wij samen zijn, (van 1995) ALLES regel met financien, tot huizen verkopen en kopen toe !
Keytrade bank ?
Discrimineert vrouwen aan de haard !!!"	1	679b6e1721215c716d5ea89f	nl		BE	1	2025-01-30T14:18:39.000Z	1		0	False	ONVOORSTELBAAR disciminerend
"Voor de zoveelste keer vertoont mijn rekening NUL euro??????????

Update 1: EN NU ANTWOORDEN JULLIE MET DE VRAAG OM MEER INFO?????
ER STAAT EEN PAAR TIENDUIZENDE EURO'S OP MIJN REKENING EN REGELMATIG ALS IK INLOG VERTOONT MIJN REKENING 0 =NUL.
ik heb dit al verschillende malen aangekaart maar nooit enig zinnig antwoord ontvangen¡
Update 2: wie ik ben is niet belangrijk !!!!!! Zo blijven jullie zich schijnlijk te verantwoorden. Is maar zeer zwak van Uwentwege !!!!!
"	1	5a865817f675864e5602ee35	nl	"Beste Romain,

Aarzel niet om het ons meer in detail uit te leggen zodat we aan een oplossing kunnen werken.

Update: op basis van uw commentaar kunnen we niet weten wie u bent. Als gevolg kunnen we de situatie voor u niet nader bekijken. 

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	ES	2	2025-01-29T18:01:27.000Z	7	2025-02-05T10:57:01.000Z	1	False	Voor de zoveelste keer vertoont mijn…
"Client depuis 12 ans (autant banque que emprunt hypothécaire) et clairement le meilleur rapport qualité/prix en Belgique.
Certes toutes les fonctionnalités ne sont pas dispo mais c’est une banque qui vous paie pour être client chez eux, sans aucun coût caché.
Et la où les autres augmentent leur prix tous les quelques mois, tout reste bien 100% gratuit chez Keytrade."	5	67968b1cf06dc0fa1b586490	fr	"Bonjour Lukasz,

Votre critique positive signifie beaucoup pour nous. Merci d'avoir pris le temps de partager votre expérience.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-26T21:21:12.000Z	1	2025-01-28T10:52:11.000Z	0	False	Client depuis 12 ans et content
"Degelijke onlinebank. Goede app en zelfs ""persoonlijke"" service als je vragen hebt?"	4	64317fc1ab6c6b0013f13731	nl	"Beste W Diels,

Leuk om te lezen dat onze dienstverlening uw goedkeuring krijgt. Bedankt om de tijd te nemen voor deze feedback.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-01-21T17:24:51.000Z	4	2025-01-28T10:28:43.000Z	0	False	Degelijke onlinebank
Ze komen hun beloftes niet na, inloggen op de rekening is heel moeilijk, Geld komt moeilijk op de rekening, ... Geen aanrader	2	678b9f9ab24f77fd0c58fdf3	nl	"Beste Marianne,

Uiteraard vinden wij het jammer te lezen dat u niet tevreden bent. 
We zouden graag meer weten over de moeilijkheden om in te loggen op de rekening. Inloggen gaat in principe makkelijk met de SoftKey: https://www.keytradebank.be/nl/hulp/softkey

We streven constant naar verbetering van onze dienstverlening en we zullen dus uw feedback zeker gebruiken.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-01-18T14:44:09.000Z	2	2025-01-28T09:54:14.000Z	1	False	Geen goede bank
"Suis satisfait de cette banque dans l'ensemble car tout est gratuit ce qui est rare de nos jours.
Ce qu'il manque pour que tout soit parfait ce sont les virements instantanés ( à quand ?), la possibilité de verser de l'argent sur son compte ( via les points cash de Batopin) et l'utilisation de Google Wallet. "	4	6789e2397a443c40d68ae23b	fr	"Bonjour Marc,

Merci pour votre critique équilibrée et juste. Nous apprécions votre feedback qui nous est très précieux pour améliorer nos services. 

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-17T06:53:22.000Z	1	2025-01-28T10:31:38.000Z	0	False	Satisfait à 75%
Bonjour. Pour moi, c'est une expérience qui dure maintenant depuis pas mal de temps. Je suis très satisfait du fonctionnement et de la sécurité de KEYTRADE. J'espère que cela va encore continuer longtemps. RD.	5	6422c06e481a950013bf0ea6	fr	"Bonjour Roland,

Nous apprécions votre commentaire positif et votre fidélité. Nous sommes ravis que vous soyez satisfait de notre service. Merci à vous !

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-16T18:52:39.000Z	5	2025-02-05T11:45:54.000Z	0	False	Toujours satisfait.
"Plusieurs opérations importantes ont été exécutées, mais avec une durée de transfert relativement longue.
La dernière en date 13 janvier 2025 a semble-t-il été exécutée sur papier (heureusement que j'imprime tout immédiatement). Mais le lendemain; compte bloqué, alors qu'il reste encore des fonds sur le compte.
Impossible de vérifier puisque l'accès est bloqué !
Je téléphone à BXL  au 02 679 90 00. 15 min d'attente avec leur ""petite musique"". Enfin quelqu'un, qui me pose plein de questions de vérifications d'identité, pour finir par me dire qu'il ne peut rien faire sauf envoyé un message à un autre service!!! Merci leur service à la clientèle !!!"	2	678925881be6191d1b61fa68	fr	"Bonjour Monsieur Vanlinthout,

Nous regrettons d'entendre parler de votre expérience. 
Entre-temps, la situation a été analysée et vos comptes sont débloqués.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-16T17:28:40.000Z	1	2025-02-05T16:05:48.000Z	0	False	Compte et carte bloqués sans raison et sans prévenir!
"Na jaren zelf (tevreden) klant adviseer ik mijn (meerderjarige) dochter klant te worden. Ik geef haar aan hoe ze dat moet doen.

Na aanmaak rekening werkt de beursrekening niet.
Dan maar bellen met customer service. 
Reden: 1 werkdag tijd nodig voordat beursrekening werkt. geen showstopper, maar waarom wordt dat niet gewoon even aan nieuwe klant melden dan (zodat die niet 10' in wacht moet staan bij bellen)?

Nu dat opgelost wil ze vandaag ordertje plaatsen via app.  Dat blijkt niet te gaan want krijgen foutmelding.
Dan maar terug bellen met customer service.
Ze moet eerst kennis-test doen. Vandaar de foutmelding. Logisch die test, maar waarom niet even aan klant duidelijk maken via een bericht of popup?  Moeten dat weer zelf achterhalen? 

Dochter doet kennistest en die moet ze digitaal ondertekenen. Weer foutmelding.  Dus weer opnieuw customer service bellen.  Ik luister mee en probeer haar te helpen met de applicatie/ondertekening.  Blijken de app te moeten sluiten op telefoon (waarmee we bellen) want anders kunnen we digitaal niet tekenen. Mijn dochter begrijpt niet meteen wat de beste man bedoelt met zijn cryptische uitleg. Als ik aangeef dat het technisch niet zo duidelijk voor ons is, dan meldt de beste man dat hij het telefoontje meteen zal eindigen als ik mijn mond niet houd.. Ik begrijp waarom dit vanuit bescherming/veiligheid zo werkt. Maar mijn dochter kan niet verder met zijn complexe technische uitleg. En haar stap per stap even rustig begeleiden zit er precies vanavond niet bij hem in. Ik mag hem geen vragen stellen en houd dus mijn mond. Het wordt dus stil.. We houden het voor bekeken en eindigen de call. Na 3x customer service op 2 dagen geeft een nieuwe klant het op. Jammer.  We proberen het op een fris moment dan nog maar eens opnieuw te bekijken met haar. Wat een drama qua (new) client experience.  

"	2	6786a850d100377513d27aa4	nl	"Beste heer Jansen,

Uiteraard vinden we het jammer om dit te lezen. 
Weet alvast dat we uw feedback over de opening van de beursrekening, het invullen van de kennis-test en de interactie met onze customer service, als essentieel zien om onze diensten te verbeteren.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-01-14T20:18:18.000Z	1	2025-01-28T09:39:00.000Z	2	False	Ervaring als nieuwe klant
Banque d'investissement en dessous de tout...! Problèmes réguliers... cours en temps réels... décalés ou .. indisponibles... Datas sociétés /analyses... euhhh... folklorique! Il suffit de regarder/comparer (avec d'autres sites ... sérieux!) les objectifs de cours affichés pour s'en rendre compte...	2	61aa0144e9b22a0012781069	fr	"Bonjour Jean,

Nous sommes désolés d'apprendre que vous n'êtes pas satisfait de notre service. Nous nous efforçons de fournir un excellent service à nos clients et nous utiliserons votre feedback pour nous améliorer.

Cordialement,
Véronique de l'équipe Keytrade Bank"	BE	2	2025-01-14T16:52:22.000Z	7	2025-01-28T09:31:25.000Z	0	False	Banque d'investissement en dessous de…
Zeer moeilijke communicatie, bijna geen nederlands. Moeilijke KYC, hoge kosten, onvriendelijke mensen.  	1	6738c0b4193f81aef356755b	nl	"Beste heer Verlinden,

Uiteraard vinden wij het jammer te lezen dat u niet tevreden bent. We streven constant naar verbetering van onze dienstverlening en we zullen dus uw feedback zeker gebruiken.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-01-14T12:12:32.000Z	2	2025-01-24T16:05:29.000Z	0	False	Zeer moeilijke communicatie
"Le meilleur rapport qualité / prix d'une banque en Belgique pour les opérations quotidiennes.
De plus, la banque paie le client 0,05 € par opération !
Site Web et App très faciles d'utilisation.
Pour les produits de placement, aucun conseil n'est donné au client. Donc, cela ne peut convenir qu'aux investisseurs autonomes."	4	67854d398fb2759815261939	fr	"Bonjour Grégory,

Merci pour votre feedback positif. Nous sommes heureux d'apprendre que nous répondons à vos attentes.

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-13T19:28:26.000Z	1	2025-02-05T11:40:08.000Z	0	False	Très bonne banque (et la moins chère).
Jamais des problemes!	5	6783d0d57cecf23dce5d31f2	fr		BE	1	2025-01-12T16:25:25.000Z	1		0	False	Jamais des problemes!
Duidelijkheid !!!!	4	6486e4df2315f8001383fe95	nl		BE	1	2025-01-09T19:44:08.000Z	3		0	False	Duidelijkheid !!!!
"Mooi productaanbod, goede tarieven.
Altijd vlot geholpen door de klantendienst."	5	677f80dcaa7b7752d040b52d	nl	"Beste Bart,

Uw positieve beoordeling doet deugd.  Altijd goed om te lezen dat we aan de verwachtingen voldoen.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	BE	1	2025-01-09T09:55:09.000Z	1	2025-02-05T11:43:21.000Z	0	False	Mooi productaanbod met goede tarieven
Ben tevreden alles in orde 	5	60af64ad32d2990019be9ae2	nl		BE	1	2025-01-09T09:26:44.000Z	14		0	False	Ben tevreden alles in orde
"Impeccable pour des tradings ""normaux"", sans me parler tout le temps de bitcoins etc."	5	677f33f3aa7b77054c409238	fr	"Bonjour Bruno,

Nous apprécions votre commentaire positif et sommes ravis que vous soyez satisfait de notre service pour le trading. Merci !

Bien à vous,
Véronique de l'équipe Keytrade Bank"	BE	1	2025-01-09T04:27:01.000Z	1	2025-02-05T11:42:30.000Z	0	False	"Impeccable pour des tradings ""normaux"""
No issues with online banking without having or using bankcards	5	57f17bdd0000ff000a49c6dc	en		BE	1	2025-01-09T00:00:16.000Z	2		1	False	No complaints
